[x_ref,y_ref,yaw_ref]
7.91078,11.7929,-1.44403
7.91397,11.7679,-1.44403
7.91715,11.7429,-1.44403
7.92034,11.718,-1.44403
7.92352,11.693,-1.44403
7.92671,11.668,-1.44403
7.92989,11.643,-1.44403
7.93308,11.618,-1.44403
7.93626,11.593,-1.44403
7.93945,11.568,-1.44403
7.94263,11.543,-1.44403
7.94581,11.5181,-1.44403
7.949,11.4931,-1.44403
7.95218,11.4681,-1.44403
7.95537,11.4431,-1.44403
7.95855,11.4181,-1.44403
7.96174,11.3931,-1.44403
7.96492,11.3681,-1.44403
7.96811,11.3431,-1.44403
7.97129,11.3182,-1.44403
7.97448,11.2932,-1.44403
7.97766,11.2682,-1.44403
7.98085,11.2432,-1.44403
7.98403,11.2182,-1.44403
7.98722,11.1932,-1.44403
7.9904,11.1682,-1.44403
7.99359,11.1432,-1.44403
7.99677,11.1183,-1.44403
7.99995,11.0933,-1.44403
8.00314,11.0683,-1.44403
8.00632,11.0433,-1.44403
8.00951,11.0183,-1.44403
8.01269,10.9933,-1.44403
8.01588,10.9683,-1.44403
8.01906,10.9433,-1.44403
8.02225,10.9184,-1.44403
8.02543,10.8934,-1.44403
8.02862,10.8684,-1.44403
8.0318,10.8434,-1.44403
8.03499,10.8184,-1.44403
8.03817,10.7934,-1.44403
8.04136,10.7684,-1.44403
8.04454,10.7434,-1.44403
8.04772,10.7185,-1.44403
8.05091,10.6935,-1.44403
8.05409,10.6685,-1.44403
8.05728,10.6435,-1.44403
8.06046,10.6185,-1.44403
8.06365,10.5935,-1.44403
8.06683,10.5685,-1.44403
8.07002,10.5435,-1.44403
8.0732,10.5186,-1.44403
8.07639,10.4936,-1.44403
8.07957,10.4686,-1.44403
8.08276,10.4436,-1.44403
8.08594,10.4186,-1.44403
8.08913,10.3936,-1.44403
8.09231,10.3686,-1.44403
8.09549,10.3436,-1.44403
8.09868,10.3186,-1.44403
8.10186,10.2937,-1.44403
8.10505,10.2687,-1.44403
8.10823,10.2437,-1.44403
8.11142,10.2187,-1.44403
8.1146,10.1937,-1.44403
8.11779,10.1687,-1.44403
8.12097,10.1437,-1.44403
8.12416,10.1187,-1.44403
8.12734,10.0938,-1.44403
8.13053,10.0688,-1.44403
8.13371,10.0438,-1.44403
8.1369,10.0188,-1.44403
8.14008,9.99381,-1.44403
8.14327,9.96882,-1.44403
8.14645,9.94384,-1.44403
8.14963,9.91885,-1.44403
8.15282,9.89386,-1.44403
8.156,9.86887,-1.44403
8.15919,9.84389,-1.44403
8.16237,9.8189,-1.44403
8.16556,9.79391,-1.44403
8.16874,9.76892,-1.44403
8.17193,9.74394,-1.44403
8.17511,9.71895,-1.44403
8.1783,9.69396,-1.44403
8.18148,9.66897,-1.44403
8.18467,9.64398,-1.44403
8.18785,9.619,-1.44403
8.19104,9.59401,-1.44403
8.19422,9.56902,-1.44403
8.1974,9.54403,-1.44403
8.20059,9.51905,-1.44403
8.20377,9.49406,-1.44403
8.20696,9.46907,-1.44403
8.21014,9.44408,-1.44403
8.21333,9.4191,-1.44403
8.21651,9.39411,-1.44403
8.2197,9.36912,-1.44403
8.22288,9.34413,-1.44403
8.22607,9.31915,-1.44403
8.22925,9.29416,-1.44403
8.23244,9.26917,-1.44403
8.23562,9.24418,-1.44403
8.23881,9.2192,-1.44403
8.24199,9.19421,-1.44403
8.24517,9.16922,-1.44403
8.24836,9.14423,-1.44403
8.25154,9.11925,-1.44403
8.25473,9.09426,-1.44403
8.25791,9.06927,-1.44403
8.2611,9.04428,-1.44403
8.26428,9.0193,-1.44403
8.26747,8.99431,-1.44403
8.27065,8.96932,-1.44403
8.27384,8.94433,-1.44403
8.27702,8.91934,-1.44403
8.28021,8.89436,-1.44403
8.28339,8.86937,-1.44403
8.28658,8.84438,-1.44403
8.28976,8.81939,-1.44403
8.29295,8.79441,-1.44403
8.29613,8.76942,-1.44403
8.29931,8.74443,-1.44403
8.3025,8.71944,-1.44403
8.30568,8.69446,-1.44403
8.30887,8.66947,-1.44403
8.31205,8.64448,-1.44403
8.31524,8.61949,-1.44403
8.31842,8.59451,-1.44403
8.32161,8.56952,-1.44403
8.32479,8.54453,-1.44403
8.32798,8.51954,-1.44403
8.33116,8.49456,-1.44403
8.33435,8.46957,-1.44403
8.33753,8.44458,-1.44403
8.34072,8.41959,-1.44403
8.3439,8.39461,-1.44403
8.34708,8.36962,-1.44403
8.35027,8.34463,-1.44403
8.35345,8.31964,-1.44403
8.35664,8.29466,-1.44403
8.35982,8.26967,-1.44403
8.36301,8.24468,-1.44403
8.36619,8.21969,-1.44403
8.36938,8.1947,-1.44403
8.37256,8.16972,-1.44403
8.37575,8.14473,-1.44403
8.37893,8.11974,-1.44403
8.38212,8.09475,-1.44403
8.3853,8.06977,-1.44403
8.38849,8.04478,-1.44403
8.39167,8.01979,-1.44403
8.39485,7.9948,-1.44403
8.39804,7.96982,-1.44403
8.40122,7.94483,-1.44403
8.40441,7.91984,-1.44403
8.40759,7.89485,-1.44403
