x_ref,y_ref,yaw_ref
-8.000000,-8.000000,0.000000
-7.989987,-8.000000,0.000000
-7.979975,-8.000000,0.000000
-7.969962,-8.000000,0.000000
-7.959950,-8.000000,0.000000
-7.949937,-8.000000,0.000000
-7.939925,-8.000000,0.000000
-7.929912,-8.000000,0.000000
-7.919900,-8.000000,0.000000
-7.909887,-8.000000,0.000000
-7.899875,-8.000000,0.000000
-7.889862,-8.000000,0.000000
-7.879850,-8.000000,0.000000
-7.869837,-8.000000,0.000000
-7.859825,-8.000000,0.000000
-7.849812,-8.000000,0.000000
-7.839800,-8.000000,0.000000
-7.829787,-8.000000,0.000000
-7.819775,-8.000000,0.000000
-7.809762,-8.000000,0.000000
-7.799750,-8.000000,0.000000
-7.789737,-8.000000,0.000000
-7.779725,-8.000000,0.000000
-7.769712,-8.000000,0.000000
-7.759700,-8.000000,0.000000
-7.749687,-8.000000,0.000000
-7.739675,-8.000000,0.000000
-7.729662,-8.000000,0.000000
-7.719650,-8.000000,0.000000
-7.709637,-8.000000,0.000000
-7.699625,-8.000000,0.000000
-7.689612,-8.000000,0.000000
-7.679599,-8.000000,0.000000
-7.669587,-8.000000,0.000000
-7.659574,-8.000000,0.000000
-7.649562,-8.000000,0.000000
-7.639549,-8.000000,0.000000
-7.629537,-8.000000,0.000000
-7.619524,-8.000000,0.000000
-7.609512,-8.000000,0.000000
-7.599499,-8.000000,0.000000
-7.589487,-8.000000,0.000000
-7.579474,-8.000000,0.000000
-7.569462,-8.000000,0.000000
-7.559449,-8.000000,0.000000
-7.549437,-8.000000,0.000000
-7.539424,-8.000000,0.000000
-7.529412,-8.000000,0.000000
-7.519399,-8.000000,0.000000
-7.509387,-8.000000,0.000000
-7.499374,-8.000000,0.000000
-7.489362,-8.000000,0.000000
-7.479349,-8.000000,0.000000
-7.469337,-8.000000,0.000000
-7.459324,-8.000000,0.000000
-7.449312,-8.000000,0.000000
-7.439299,-8.000000,0.000000
-7.429287,-8.000000,0.000000
-7.419274,-8.000000,0.000000
-7.409262,-8.000000,0.000000
-7.399249,-8.000000,0.000000
-7.389237,-8.000000,0.000000
-7.379224,-8.000000,0.000000
-7.369212,-8.000000,0.000000
-7.359199,-8.000000,0.000000
-7.349186,-8.000000,0.000000
-7.339174,-8.000000,0.000000
-7.329161,-8.000000,0.000000
-7.319149,-8.000000,0.000000
-7.309136,-8.000000,0.000000
