x_ref,y_ref,yaw_ref
-6.250000,0.000000,0.000000
-6.199866,0.000000,0.000000
-6.149733,0.000000,0.000000
-6.099599,0.000000,0.000000
-6.049465,0.000000,0.000000
-5.999332,0.000000,0.000000
-5.949198,0.000000,0.000000
-5.899064,0.000000,0.000000
-5.848930,0.000000,0.000000
-5.798797,0.000000,0.000000
-5.748663,0.000000,0.000000
-5.698529,0.000000,0.000000
-5.648396,0.000000,0.000000
-5.598262,0.000000,0.000000
-5.548128,0.000000,0.000000
-5.497995,0.000000,0.000000
-5.447861,0.000000,0.000000
-5.397727,0.000000,0.000000
-5.347594,0.000000,0.000000
-5.297460,0.000000,0.000000
-5.247326,0.000000,0.000000
-5.197193,0.000000,0.000000
-5.147059,0.000000,0.000000
-5.096925,0.000000,0.000000
-5.046791,0.000000,0.000000
-4.996658,0.000000,0.000000
-4.946524,0.000000,0.000000
-4.896390,0.000000,0.000000
-4.846257,0.000000,0.000000
-4.796123,0.000000,0.000000
-4.745989,0.000000,0.000000
-4.695856,0.000000,0.000000
-4.645722,0.000000,0.000000
-4.595588,0.000000,0.000000
-4.545455,0.000000,0.000000
-4.495321,0.000000,0.000000
-4.445187,0.000000,0.000000
-4.395053,0.000000,0.000000
-4.344920,0.000000,0.000000
-4.294786,0.000000,0.000000
-4.244652,0.000000,0.000000
-4.194519,0.000000,0.000000
-4.144385,0.000000,0.000000
-4.094251,0.000000,0.000000
-4.044118,0.000000,0.000000
-3.993984,0.000000,0.000000
-3.943850,0.000000,0.000000
-3.893717,0.000000,0.000000
-3.843583,0.000000,0.000000
-3.793449,0.000000,0.000000
-3.743316,0.000000,0.000000
-3.693182,0.000000,0.000000
-3.643048,0.000000,0.000000
-3.592914,0.000000,0.000000
-3.542781,0.000000,0.000000
-3.492647,0.000000,0.000000
-3.442513,0.000000,0.000000
-3.392380,0.000000,0.000000
-3.342246,0.000000,0.000000
-3.292112,0.000000,0.000000
-3.241979,0.000000,0.000000
-3.191845,0.000000,0.000000
-3.141711,0.000000,0.000000
-3.091578,0.000000,0.000000
