x_ref,y_ref,yaw_ref
-20.000000,15.000000,-1.570796
-20.000000,14.949495,-1.570796
-20.000000,14.898990,-1.570796
-20.000000,14.848485,-1.570796
-20.000000,14.797980,-1.570796
-20.000000,14.747475,-1.570796
-20.000000,14.696970,-1.570796
-20.000000,14.646465,-1.570796
-20.000000,14.595960,-1.570796
-20.000000,14.545455,-1.570796
-20.000000,14.494949,-1.570796
-20.000000,14.444444,-1.570796
-20.000000,14.393939,-1.570796
-20.000000,14.343434,-1.570796
-20.000000,14.292929,-1.570796
-20.000000,14.242424,-1.570796
-20.000000,14.191919,-1.570796
-20.000000,14.141414,-1.570796
-20.000000,14.090909,-1.570796
-20.000000,14.040404,-1.570796
-20.000000,13.989899,-1.570796
-20.000000,13.939394,-1.570796
-20.000000,13.888889,-1.570796
-20.000000,13.838384,-1.570796
-20.000000,13.787879,-1.570796
-20.000000,13.737374,-1.570796
-20.000000,13.686869,-1.570796
-20.000000,13.636364,-1.570796
-20.000000,13.585859,-1.570796
-20.000000,13.535354,-1.570796
-20.000000,13.484848,-1.570796
-20.000000,13.434343,-1.570796
-20.000000,13.383838,-1.570796
-20.000000,13.333333,-1.570796
-20.000000,13.282828,-1.570796
-20.000000,13.232323,-1.570796
-20.000000,13.181818,-1.570796
-20.000000,13.131313,-1.570796
-20.000000,13.080808,-1.570796
-20.000000,13.030303,-1.570796
-20.000000,12.979798,-1.570796
-20.000000,12.929293,-1.570796
-20.000000,12.878788,-1.570796
-20.000000,12.828283,-1.570796
-20.000000,12.777778,-1.570796
-20.000000,12.727273,-1.570796
-20.000000,12.676768,-1.570796
-20.000000,12.626263,-1.570796
-20.000000,12.575758,-1.570796
-20.000000,12.525253,-1.570796
-20.000000,12.474747,-1.570796
-20.000000,12.424242,-1.570796
-20.000000,12.373737,-1.570796
-20.000000,12.323232,-1.570796
-20.000000,12.272727,-1.570796
-20.000000,12.222222,-1.570796
-20.000000,12.171717,-1.570796
-20.000000,12.121212,-1.570796
-20.000000,12.070707,-1.570796
-20.000000,12.020202,-1.570796
-20.000000,11.969697,-1.570796
-20.000000,11.919192,-1.570796
-20.000000,11.868687,-1.570796
-20.000000,11.818182,-1.570796
-20.000000,11.767677,-1.570796
-20.000000,11.717172,-1.570796
-20.000000,11.666667,-1.570796
-20.000000,11.616162,-1.570796
-20.000000,11.565657,-1.570796
-20.000000,11.515152,-1.570796
-20.000000,11.464646,-1.570796
-20.000000,11.414141,-1.570796
-20.000000,11.363636,-1.570796
-20.000000,11.313131,-1.570796
-20.000000,11.262626,-1.570796
-20.000000,11.212121,-1.570796
-20.000000,11.161616,-1.570796
-20.000000,11.111111,-1.570796
-20.000000,11.060606,-1.570796
-20.000000,11.010101,-1.570796
-20.000000,10.959596,-1.570796
-20.000000,10.909091,-1.570796
-20.000000,10.858586,-1.570796
-20.000000,10.808081,-1.570796
-20.000000,10.757576,-1.570796
-20.000000,10.707071,-1.570796
-20.000000,10.656566,-1.570796
-20.000000,10.606061,-1.570796
-20.000000,10.555556,-1.570796
-20.000000,10.505051,-1.570796
-20.000000,10.454545,-1.570796
-20.000000,10.404040,-1.570796
-20.000000,10.353535,-1.570796
-20.000000,10.303030,-1.570796
-20.000000,10.252525,-1.570796
-20.000000,10.202020,-1.570796
-20.000000,10.151515,-1.570796
-20.000000,10.101010,-1.570796
-20.000000,10.050505,-1.570796
-20.000000,10.000000,-1.570796
-20.000000,10.000000,-0.785398
-19.949749,9.949749,-0.785398
-19.899497,9.899497,-0.785398
-19.849246,9.849246,-0.785398
-19.798995,9.798995,-0.785398
-19.748744,9.748744,-0.785398
-19.698492,9.698492,-0.785398
-19.648241,9.648241,-0.785398
-19.597990,9.597990,-0.785398
-19.547739,9.547739,-0.785398
-19.497487,9.497487,-0.785398
-19.447236,9.447236,-0.785398
-19.396985,9.396985,-0.785398
-19.346734,9.346734,-0.785398
-19.296482,9.296482,-0.785398
-19.246231,9.246231,-0.785398
-19.195980,9.195980,-0.785398
-19.145729,9.145729,-0.785398
-19.095477,9.095477,-0.785398
-19.045226,9.045226,-0.785398
-18.994975,8.994975,-0.785398
-18.944724,8.944724,-0.785398
-18.894472,8.894472,-0.785398
-18.844221,8.844221,-0.785398
-18.793970,8.793970,-0.785398
-18.743719,8.743719,-0.785398
