x_ref,y_ref,yaw_ref
14.000000,0.000000,1.570796
14.000000,0.050360,1.570796
14.000000,0.100719,1.570796
14.000000,0.151079,1.570796
14.000000,0.201439,1.570796
14.000000,0.251799,1.570796
14.000000,0.302158,1.570796
14.000000,0.352518,1.570796
14.000000,0.402878,1.570796
14.000000,0.453237,1.570796
14.000000,0.503597,1.570796
14.000000,0.553957,1.570796
14.000000,0.604317,1.570796
14.000000,0.654676,1.570796
14.000000,0.705036,1.570796
14.000000,0.755396,1.570796
14.000000,0.805755,1.570796
14.000000,0.856115,1.570796
14.000000,0.906475,1.570796
14.000000,0.956835,1.570796
14.000000,1.007194,1.570796
14.000000,1.057554,1.570796
14.000000,1.107914,1.570796
14.000000,1.158273,1.570796
14.000000,1.208633,1.570796
14.000000,1.258993,1.570796
14.000000,1.309353,1.570796
14.000000,1.359712,1.570796
14.000000,1.410072,1.570796
14.000000,1.460432,1.570796
14.000000,1.510791,1.570796
14.000000,1.561151,1.570796
14.000000,1.611511,1.570796
14.000000,1.661871,1.570796
14.000000,1.712230,1.570796
14.000000,1.762590,1.570796
14.000000,1.812950,1.570796
14.000000,1.863309,1.570796
14.000000,1.913669,1.570796
14.000000,1.964029,1.570796
14.000000,2.014388,1.570796
14.000000,2.064748,1.570796
14.000000,2.115108,1.570796
14.000000,2.165468,1.570796
14.000000,2.215827,1.570796
14.000000,2.266187,1.570796
14.000000,2.316547,1.570796
14.000000,2.366906,1.570796
14.000000,2.417266,1.570796
14.000000,2.467626,1.570796
14.000000,2.517986,1.570796
14.000000,2.568345,1.570796
14.000000,2.618705,1.570796
14.000000,2.669065,1.570796
14.000000,2.719424,1.570796
14.000000,2.769784,1.570796
14.000000,2.820144,1.570796
14.000000,2.870504,1.570796
14.000000,2.920863,1.570796
14.000000,2.971223,1.570796
14.000000,3.021583,1.570796
14.000000,3.071942,1.570796
14.000000,3.122302,1.570796
14.000000,3.172662,1.570796
14.000000,3.223022,1.570796
14.000000,3.273381,1.570796
14.000000,3.323741,1.570796
14.000000,3.374101,1.570796
14.000000,3.424460,1.570796
14.000000,3.474820,1.570796
14.000000,3.525180,1.570796
14.000000,3.575540,1.570796
14.000000,3.625899,1.570796
14.000000,3.676259,1.570796
14.000000,3.726619,1.570796
14.000000,3.776978,1.570796
14.000000,3.827338,1.570796
14.000000,3.877698,1.570796
14.000000,3.928058,1.570796
14.000000,3.978417,1.570796
14.000000,4.028777,1.570796
14.000000,4.079137,1.570796
14.000000,4.129496,1.570796
14.000000,4.179856,1.570796
14.000000,4.230216,1.570796
14.000000,4.280576,1.570796
14.000000,4.330935,1.570796
14.000000,4.381295,1.570796
14.000000,4.431655,1.570796
14.000000,4.482014,1.570796
14.000000,4.532374,1.570796
14.000000,4.582734,1.570796
14.000000,4.633094,1.570796
14.000000,4.683453,1.570796
14.000000,4.733813,1.570796
14.000000,4.784173,1.570796
14.000000,4.834532,1.570796
14.000000,4.884892,1.570796
14.000000,4.935252,1.570796
14.000000,4.985612,1.570796
14.000000,5.035971,1.570796
14.000000,5.086331,1.570796
14.000000,5.136691,1.570796
14.000000,5.187050,1.570796
14.000000,5.237410,1.570796
14.000000,5.287770,1.570796
14.000000,5.338129,1.570796
14.000000,5.388489,1.570796
14.000000,5.438849,1.570796
14.000000,5.489209,1.570796
14.000000,5.539568,1.570796
14.000000,5.589928,1.570796
14.000000,5.640288,1.570796
14.000000,5.690647,1.570796
14.000000,5.741007,1.570796
14.000000,5.791367,1.570796
14.000000,5.841727,1.570796
14.000000,5.892086,1.570796
14.000000,5.942446,1.570796
14.000000,5.992806,1.570796
14.000000,6.043165,1.570796
14.000000,6.093525,1.570796
14.000000,6.143885,1.570796
14.000000,6.194245,1.570796
14.000000,6.244604,1.570796
14.000000,6.294964,1.570796
14.000000,6.345324,1.570796
14.000000,6.395683,1.570796
14.000000,6.446043,1.570796
14.000000,6.496403,1.570796
14.000000,6.546763,1.570796
14.000000,6.597122,1.570796
14.000000,6.647482,1.570796
14.000000,6.697842,1.570796
14.000000,6.748201,1.570796
14.000000,6.798561,1.570796
14.000000,6.848921,1.570796
14.000000,6.899281,1.570796
14.000000,6.949640,1.570796
14.000000,7.000000,1.570796
14.000000,7.000000,2.356194
13.949640,7.050360,2.356194
13.899281,7.100719,2.356194
13.848921,7.151079,2.356194
13.798561,7.201439,2.356194
13.748201,7.251799,2.356194
13.697842,7.302158,2.356194
13.647482,7.352518,2.356194
13.597122,7.402878,2.356194
13.546763,7.453237,2.356194
13.496403,7.503597,2.356194
13.446043,7.553957,2.356194
13.395683,7.604317,2.356194
13.345324,7.654676,2.356194
13.294964,7.705036,2.356194
13.244604,7.755396,2.356194
13.194245,7.805755,2.356194
13.143885,7.856115,2.356194
13.093525,7.906475,2.356194
13.043165,7.956835,2.356194
12.992806,8.007194,2.356194
12.942446,8.057554,2.356194
12.892086,8.107914,2.356194
12.841727,8.158273,2.356194
12.791367,8.208633,2.356194
12.741007,8.258993,2.356194
12.690647,8.309353,2.356194
12.640288,8.359712,2.356194
12.589928,8.410072,2.356194
12.539568,8.460432,2.356194
12.489209,8.510791,2.356194
12.438849,8.561151,2.356194
12.388489,8.611511,2.356194
12.338129,8.661871,2.356194
12.287770,8.712230,2.356194
12.237410,8.762590,2.356194
12.187050,8.812950,2.356194
12.136691,8.863309,2.356194
12.086331,8.913669,2.356194
12.035971,8.964029,2.356194
11.985612,9.014388,2.356194
11.935252,9.064748,2.356194
11.884892,9.115108,2.356194
11.834532,9.165468,2.356194
11.784173,9.215827,2.356194
11.733813,9.266187,2.356194
11.683453,9.316547,2.356194
11.633094,9.366906,2.356194
11.582734,9.417266,2.356194
11.532374,9.467626,2.356194
11.482014,9.517986,2.356194
11.431655,9.568345,2.356194
11.381295,9.618705,2.356194
11.330935,9.669065,2.356194
11.280576,9.719424,2.356194
11.230216,9.769784,2.356194
11.179856,9.820144,2.356194
11.129496,9.870504,2.356194
11.079137,9.920863,2.356194
11.028777,9.971223,2.356194
10.978417,10.021583,2.356194
10.928058,10.071942,2.356194
10.877698,10.122302,2.356194
10.827338,10.172662,2.356194
10.776978,10.223022,2.356194
10.726619,10.273381,2.356194
10.676259,10.323741,2.356194
10.625899,10.374101,2.356194
10.575540,10.424460,2.356194
10.525180,10.474820,2.356194
10.474820,10.525180,2.356194
10.424460,10.575540,2.356194
10.374101,10.625899,2.356194
10.323741,10.676259,2.356194
10.273381,10.726619,2.356194
10.223022,10.776978,2.356194
10.172662,10.827338,2.356194
10.122302,10.877698,2.356194
10.071942,10.928058,2.356194
10.021583,10.978417,2.356194
9.971223,11.028777,2.356194
9.920863,11.079137,2.356194
9.870504,11.129496,2.356194
9.820144,11.179856,2.356194
9.769784,11.230216,2.356194
9.719424,11.280576,2.356194
9.669065,11.330935,2.356194
9.618705,11.381295,2.356194
9.568345,11.431655,2.356194
9.517986,11.482014,2.356194
9.467626,11.532374,2.356194
9.417266,11.582734,2.356194
9.366906,11.633094,2.356194
9.316547,11.683453,2.356194
9.266187,11.733813,2.356194
9.215827,11.784173,2.356194
9.165468,11.834532,2.356194
9.115108,11.884892,2.356194
9.064748,11.935252,2.356194
9.014388,11.985612,2.356194
8.964029,12.035971,2.356194
